comments,sentiment
"['сам', 'дело', 'альфарий', 'ламберт', 'ведьмак']",1
"['король', 'жёлтый', 'жирный', 'отсыл', 'лавкрафт']",0
"['слишком', 'сильный', 'заявление']",0
"['твой', 'батя', 'сигарета', 'уйти', 'шутка']",1
"['ясно', 'админ', 'омегон']",0
"['никакой', 'гарантия', 'админ', 'омегон']",0
"['свой', 'стричься']",0
"['никто', 'знать', 'скачать', 'сатурнина']",0
"['шутка', 'который', 'выкупать']",0
"['нечестивый', 'технология']",1
"['механический', 'глаз']",1
"['сам', 'дело', 'альфария', 'небыть', 'главный', 'герой', 'это', 'легионер', 'который', 'гипнотерапия', 'внушить', 'альфария', 'скрывать', 'правда']",0
"['уриэль', 'вентрис', 'пройти', 'рубикон', 'примариса']",1
"['это', 'знать']",1
"['альфария', 'альфария', 'вместе', 'альфария']",0
"['сорроритка', 'белый', 'накидка', 'белый', 'волос', 'должный', 'ниггойя']",0
"['альфария', 'ван', 'пис']",1
"['видеть', 'некоторый', 'дерьмо']",0
"['похожий', 'испортить', 'гей']",0
['примариса'],0
['люминет'],0
"['второй', 'книга', 'выйти']",0
['гитлер'],0
"['гном', 'аоса', 'треножник', 'война', 'мир', 'железный', 'воин', 'машинариум']",0
"['фирменный', 'покрас', 'гв', 'радовать', 'вентрис', 'минька', 'получить']",1
"['думать', 'макнейл', 'убъть', 'место', 'поставить', 'новый', 'примариса']",1
['альфария'],0
['соник'],0
"['типо', 'итог', 'таки', 'живой']",0
['пасиб'],1
"['нууа', 'макнилла', 'обещать', 'обещать', 'хотя', 'потерять', 'надежда', 'хороший', 'подарок', 'наверное', 'следующий', 'год']",0
"['знать', 'перевод', 'русский', 'первый', 'книга']",1
"['заклятый', 'враг', 'легио', 'атарус']",0
"['книга', 'просто', 'переиздать', 'отретконить', 'минимум', 'поправить', 'таймлайна', 'возможно', 'другой', 'бэковыя', 'несостыковка']",1
"['комент', 'удалять', 'альфария', 'напасть']",1
"['оказаться', 'сам', 'дело', 'альфа', 'легионер', 'страдать', 'травматический', 'синдром', 'смерть', 'примарха', 'казаться', 'сей', 'пора', 'вести', 'вкп', 'завоёвывать', 'мир', 'империум', 'объединять', 'человечество', 'освобождать', 'человек', 'власть', 'примитивный', 'тиранический', 'цивилизация', 'спасать', 'удавка', 'религиозный', 'суеверие', 'подготавливать', 'принятие', 'имперский', 'истина']",0
"['дов', 'книга', 'сделать']",0
"['хороший', 'товар', 'рынок', 'имматериум', 'волшебный', 'зеркальце', 'слаанеш', 'туева', 'тысяча', 'год', 'рынок', 'коррапт', 'приобрести', 'лавка', 'фулгрим', 'груша', 'подарок']",1
"['узнать', 'бросать', 'дымовой', 'бомба']",0
"['паровоз', 'приехать', 'калта']",0
"['чувак', 'думать', 'ересь', 'начать', 'читать', 'мочь', 'подсказать', 'начать', 'разница']",0
"['очевидный', 'байт', 'пробуждаться', 'император', 'ставить', 'это', 'иннеяд']",1
"['спалить', 'прийтись', 'работать', 'конспирация']",0
"['сразу', 'видно', 'человек', 'поведать', 'дерьмо']",0
"['оепт', 'начаться', 'девочка', 'красивый', 'прекрасный', 'слащавый', 'астартёс', 'комплекс', 'вампир', 'мочь', 'секс', 'женатый', 'гв', 'делать', 'продвигать', 'тема', 'замкнутый', 'мужицкий', 'братство', 'сплетаться', 'объятие', 'братский', 'попахивать', 'гей', 'парад', 'год', 'повесточка', 'продвигать', 'лгбти', 'жопашник', 'лечь', 'толераный', 'сам', 'начало', 'это', 'факт', 'мешать', 'покупать', 'минька', 'книга', 'кодекс', 'прочий', 'баба', 'красивый', 'ай', 'ай', 'вон', 'ветрис', 'сделать', 'такой', 'понятно', 'хонься', 'сбежать', 'хотя', 'первый', 'книга', 'десна', 'друг', 'друг', 'дышать', 'страсть', 'примарх', 'вон', 'вообще', 'эльдарка', 'крутить', 'вера', 'признать', 'император', 'бог', 'считать', 'удивительно', 'рожа', 'перекосить']",0
"['альфария', 'слить', 'пертурабо']",0
['френч'],0
"['арт', 'нагиева', 'рисовать']",1
"['это', 'время', 'альфарий']",1
"['сам', 'дело', 'литературный', 'новинка', 'представить', 'ниже', 'это', 'альфария']",0
"['альфария', 'это', 'гоша', 'куценко']",0
"['капитан', 'тит', 'вернуться']",0
"['узнать', 'настоящий', 'альфария', 'это', 'время', 'пытаться', 'спасти', 'империум', 'убивать', 'новый', 'альфарий', 'вокруг', 'альфарий', 'вообщий', 'запутаться', 'весь', 'быть']",0
"['вентрис', 'говорить', 'хлебал', 'мать', 'живой']",1
"['пацан', 'катафракт', 'люччие']",1
"['гв', 'раскрыть', 'главный', 'тайна', 'макри', 'разный']",1
"['уирелька', 'выжить', 'трансформация']",0
"['пятый', 'бог']",1
['помолодеть'],0
"['недостаточно', 'дакка']",0
"['быть', 'спойлер', 'книга']",0
"['похоже', 'иакс', 'стать', 'мориаксема']",0
['паровоз'],1
"['мир', 'далёкий', 'будущее', 'нытьё', 'смех', 'тёмный', 'бог']",1
"['глаз', 'мой', 'батя', 'император', 'ножны']",1
"['утро', 'зимой', 'идти', 'выгуливать', 'собака']",0
"['сила', 'фенрис']",1
"['мухтар', 'брат', 'труп', 'возможно', 'ересь', 'кой']",1
"['это', 'новый', 'ксенология', 'ксенос', 'чернокжаменка', 'быть', 'иллюстрация']",1
"['фиксировать', 'разум', 'простой', 'самовнушать', 'фраза', 'повторение', 'уполномоченный', 'оператор', 'запускать']",1
"['сестра', 'анархия', 'захватить', 'плен', 'тау', 'собираться', 'показать', 'ксенос', 'такой', 'истинный', 'вера', 'звучать', 'начало', 'порнофильм']",1
"['ждать', 'перевод', 'постоянно', 'изменяться', 'аксиома']",0
"['сканировать', 'обложка', 'предмет', 'негр']",0
"['гореть', 'свеча', 'книжка', 'это', 'ваховск']",0
"['красиво', 'звучать', 'очень', 'корпус', 'мимиро']",1
"['ребята', 'первый', 'стена', 'сатурнайн', 'перевести']",0
"['интерес', 'серво', 'череп', 'аэльдари', 'караул', 'смерть', 'наследие', 'технология', 'выдумать', 'независимо']",1
"['блин', 'понимать', 'эстетика']",0
"['сразу', 'догнать']",1
"['отсылочки', 'мифология']",0
['укурить'],0
"['голова', 'мимирон']",1
"['называться', 'первый', 'книга', 'серия']",0
"['боец', 'передний', 'план', 'определённо', 'намеренный', 'завалить', 'титан', 'лазгана']",1
"['разъяснить', 'чайник']",1
"['десант', 'отличный', 'расцветка']",0
"['коммент', 'глупый', 'ньюфаг']",1
"['броня', 'пехотинец']",0
"['читать', 'удобно']",1
"['прикол', 'понять', 'позади', 'демон', 'фулгрим', 'вроде']",1
"['откуда', 'весь', 'этот', 'инф', 'мимиро', 'некротеххника', 'тд']",0
"['девица', 'окно', 'прясть', 'поздно', 'вечерком', 'император', 'заходить', 'комната', 'нахер', 'выходить', 'обратно']",0
"['сестра', 'битва', 'совершенно', 'обязательно', 'ловить', 'морда', 'пуля', 'тот', 'думать', 'соприкосновение', 'голова', 'чопой', 'орк', 'неагументировать', 'хумать', 'отделаться', 'брутальный', 'шрам', 'подумать', 'гв', 'прогибаться', 'человек', 'который', 'покупать', 'продукция', 'сначала', 'добавить', 'фигурка', 'нейрозъём', 'который', 'непонятно', 'подключаться', 'запилить', 'весь', 'такой', 'рожа', 'хаоситовый', 'пугать', 'рисовать', 'няшный', 'кровавый', 'ангел', 'ультереть', 'никакой', 'проблема', 'гмо', 'качка', 'объективизировать']",0
['штрафник'],0
"['напоминать', 'боец', 'промитея']",0
"['космодесантник', 'расцветка', 'спина', 'поворачиваться']",0
"['учёт', 'перспектива', 'получаться', 'значительно', 'выше', 'остальной', 'должный', 'один', 'боец', 'рост']",0
"['серебряный', 'стража', 'вернуть', 'цвет', 'савье', 'старинка', 'нарисовать', 'книга', 'круседа', 'мир', 'саббат', 'показать', 'вариант', 'расцветка']",0
"['болтер', 'тактический', 'рукоять']",0
['мощный'],0
"['бла', 'бла', 'бла', 'такой', 'технология', 'бла', 'бла', 'бла', 'это', 'услышать', 'ересь']",1
"['бровь', 'прямо', 'модельный', 'санька']",0
"['наплечник', 'караул', 'смерть', 'мочь', 'отказаться', 'честь']",1
"['бой', 'насмерть', 'который', 'выжить', 'стать', 'сильный']",0
"['командор', 'отправлять', 'калдерис', 'ангелос', 'конец', 'связь']",0
['паровоз'],1
"['рог', 'теклис', 'понимать']",0
"['император', 'услышать', 'молитва', 'услышать', 'дэн', 'неважно', 'ждать', 'перевод', 'общий']",1
"['дорн', 'мёртвый', 'поэтому', 'мнение', 'никто', 'колыхать', 'кто', 'это', 'новость', 'коул', 'империум', 'полно', 'орден', 'геносемя', 'который', 'брать', 'свой', 'начало', 'легион', 'отступник', 'орёл', 'смерть', 'например']",1
"['гоп', 'стоп', 'селестина']",0
"['пятка', 'поднять', 'святость', 'потерять']",0
"['гордиться', 'этот', 'киберхерувим', 'любой', 'непонятный', 'ситуация', 'держать', 'плащ']",1
"['кайн', 'это', 'тот', 'нож', 'метать', 'псайкер', 'свита', 'рейвенор']",1
"['вообще', 'пятка', 'отрывать', 'неудобнож']",0
"['пятка', 'оторвать', 'сектор', 'потерять']",0
"['это', 'просто', 'один', 'технология', 'воткнуть', 'библиарий']",1
"['сфоткай', 'тип', 'герой']",0
"['тема', 'этот', 'европа', 'склеп', 'глубокий', 'камень', 'ребята', 'го', 'горнило']",1
"['выглядеть', 'карлански']",0
"['давать', 'новый', 'омнибус']",1
"['загудеть', 'демонический', 'паровоз']",1
"['чётко', 'внатура', 'чётко']",1
"['альфач', 'омёжка', 'носить', 'броник', 'похожий', 'космодесовский', 'выдать']",1
"['мамкин', 'модник']",0
"['картинка', 'пацан', 'песок', 'утекать', 'сквозь', 'пальцыыыыы']",1
"['резко', 'рост', 'сдать']",0
"['пятка', 'оторвать', 'империум', 'потерять']",0
"['лысый', 'альф']",0
['аглая'],0
['орден'],0
"['народ', 'магос', 'перевести', 'скачать']",1
"['болт', 'встроить', 'пси', 'болтереть', 'серый']",0
"['очень', 'достойный']",0
"['пропорция', 'выйти', 'чат']",0
"['дождаться', 'блин', 'осторожность', 'денчик', 'магос', 'такой', 'намутить', 'грих', 'который', 'несущий', 'нарубить', 'цветочек', 'лепесточек']",0
"['вроде', 'гаунт', 'глаз', 'выжечь', 'бионика']",1
"['гулиман', 'вернуться']",0
['время'],0
['омегон'],0
"['батя', 'купить', 'скотина', 'выбросить', 'отсюда', 'следующий', 'день', 'пройти', 'два', 'неделя']",0
"['примарис', 'болт', 'винтовка', 'вентрис', 'старый', 'болтереть']",1
"['тож', 'тип', 'испивать', 'душа', 'хемерический', 'гибридный', 'прогениум']",0
"['книга', 'такой', 'рука', 'делать', 'перекат']",0
['посмотреть'],1
"['забыть', 'выключить', 'огненный', 'испоганить', 'один', 'ножны']",0
"['жалкий', 'пародия']",0
"['слава', 'император', 'человечество']",1
"['эт', 'весь', 'арт', 'целиком']",1
"['голова', 'сразу', 'заметить']",1
"['столько', 'шланговый', 'живот', 'гной', 'откачивать']",1
"['самый', 'мерзостный', 'еретик', 'интересно', 'рядом', 'такой', 'глушилка', 'варпа', 'заработать', 'растечься', 'остаться', 'форма']",0
"['случайный', 'фото', 'сколько', 'смысл']",0
['самовар'],0
"['какой', 'орден', 'такой', 'расцветка', 'это', 'фанарта']",0
"['самый', 'хороший', 'аниме', 'хороший', 'опенинга', 'классный', 'музыка', 'ржак', 'полный']",1
"['обычно', 'шлем', 'сморить', 'тб', 'шникнуть']",0
"['типичный', 'индус']",1
['смоуга'],0
"['казаться', 'это', 'типичный', 'феменистка']",1
"['откуда', 'арт']",1
"['жахнуть', 'лифт']",1
['переиздавать'],0
"['верминтид', 'сорок', 'тысяча']",1
"['полковник', 'спросить', 'работа', 'сказать', 'делать', 'говорить', 'сказать', 'чертовый', 'гений', 'дать', 'один', 'медаль', 'любить', 'гвардия', 'норк', 'деддог']",0
"['рескин', 'верминтайд', 'урааа']",1
"['отдача', 'лазгановый', 'отдача', 'лазгановый']",0
"['сложно', 'огрин', 'впихнуть', 'физика', 'здоровый', 'тушить', 'резко', 'дёргаться']",0
"['удивление', 'выглядеть', 'дурно', 'выйти', 'игра', 'посмотреть', 'пока', 'претензия']",1
"['такой', 'игра', 'человек', 'переходить', 'точка', 'точка', 'убивать', 'нпс', 'игра', 'провалиться', 'скучный', 'несмотря', 'графония']",0
"['динамика', 'уровень', 'верминтайдас', 'збс', 'уровень', 'спейсхалка', 'красиво', 'крутой', 'ролик']",1
"['хотеться', 'добавить', 'другой', 'персонаж', 'пусть', 'ждать']",1
['игра'],0
"['детство', 'ждать', 'пойти', 'сын', 'показать']",1
"['годнота', 'смотреть', 'марина', 'вступить', 'бой']",0
"['такой', 'равно', 'рад', 'игра']",1
"['мда', 'акула', 'акула']",0
"['блин', 'скиттергейт', 'легенда', 'пройти', 'успеть', 'выход']",0
"['бодрячок', 'немного', 'пустовато', 'полноценный', 'инквизитор', 'марин', 'целое', 'живенько']",1
"['огрин', 'это', 'огрин', 'это', 'надёжно', 'выстрелить', 'жвахнуть', 'кто', 'голова', 'борисиус', 'блейдус', 'вальхалец']",1
"['лезть', 'подулия', 'сдохнуть']",0
"['главное', 'обоссаный', 'пафосный', 'маринад', 'который', 'каждый', 'игра', 'превозмогать']",1
"['требование', 'какой']",0
"['лефтфодэда', 'мир', 'империум']",1
"['адепт', 'маняфантазирование', 'пытаться', 'аналогия', 'отношение', 'который', 'существовать', 'реальный', 'мир']",0
"['вроде', 'заебумба']",1
"['шикарно', 'поиграть']",1
"['куча', 'баба', 'воткнуть', 'дерьмо', 'видно', 'этот', 'игра', 'взлететь']",0
"['бл', 'ремейк', 'файра', 'варриор', 'лчеловек', 'наскучить', 'пилить', 'игра', 'побеждать', 'лоялист']",0
"['тип', 'ересь', 'хорусый', 'время', 'вкп', 'куча', 'различный', 'мир', 'кровавый', 'сражение', 'вселенная', 'вархаммер', 'вспомнить', 'тот', 'коммор', 'туда', 'саламандра', 'высадиться', 'эпик', 'неееееть', 'сделать', 'самый', 'убогий', 'игра', 'обычно', 'ты', 'история', 'падение', 'целый', 'легион', 'ты', 'эльдар', 'двигаться', 'дикий', 'скорость', 'гражданский', 'война', 'война', 'орда', 'хаос', 'неудивительный', 'этот', 'игра', 'малоизвестный', 'знать', 'точно', 'удивиться', 'этот', 'игра', 'провалиться', 'нахрен', 'прокат', 'халтура', 'виднеться', 'весь', 'смочь', 'сделать', 'звук', 'лазгана', 'физика', 'играбельный', 'отличаться', 'лазгана', 'огнестрела', 'нееееть', 'взять', 'обычный', 'звук', 'огнестрела', 'обычный', 'физика', 'огнестрела', 'нацепить', 'лазган', 'тип', 'фаллоут', 'лазерный', 'пушка', 'иметь', 'физика', 'минимальный', 'отдача', 'свой', 'звук', 'выстрел', 'это', 'халтура', 'господин', 'этот', 'игра', 'настоящий', 'халтура', 'фанат', 'очень', 'обидно', 'мочь', 'сделать', 'годный', 'столько', 'год', 'вселенная', 'ждать', 'вкп', 'ересь', 'хорусый', 'совать', 'всякий', 'дерьмо', 'говорить', 'жрать', 'тваринка']",1
"['абаддон', 'стать', 'демонюгойя', 'чкп', 'провести', 'чудик', 'один', 'стать', 'демон']",0
['продать'],0
['смотреться'],1
"['лазган', 'плохо', 'сделать', 'отдача', 'фактически', 'фонарик', 'представлять', 'лазган', 'пушка', 'походить', 'тот', 'вульфинштейн', 'стрелять', 'очередь', 'один', 'долгий', 'луч', 'который', 'выжигать', 'плавить', 'цель']",0
"['смесь', 'верминтайд', 'спейсхалка']",0
"['нуу', 'чета', 'драйвовый', 'наверно', 'максимально', 'генеричный', 'музел', 'фон', 'возможно', 'реально', 'действие', 'мало', 'показать']",0
"['мало', 'понимать', 'ваш', 'як', 'йий', 'але', 'огр', 'був', 'красивый', 'шим', 'нка']",0
"['нормалда', 'лазган', 'пофиксить', 'нож', 'который', 'огрин', 'нарезать', 'хлеб', 'убрать', 'докинуть', 'бронь', 'пушка', 'перс', 'прочее', 'контент']",0
['открываться'],0
"['вместо', 'курильщик', 'слаанешить', 'длинный', 'половой', 'орган', 'хватать', 'утаскивать', 'вместо', 'толстяк', 'последователь', 'нургнуть']",0
"['отдача', 'лазгана', 'серьёзно']",1
"['ныть', 'хотеть', 'этат', 'проект', 'закрыть', 'быть', 'работат', 'ошыпками', 'хотяб', 'похвалить', 'разраб']",0
"['очередной', 'проект', 'который', 'пройти', 'причина', 'отсутствие', 'друг']",0
"['брат', 'имя', 'император', 'спускаться', 'коммент', 'поклонник', 'нургнуть', 'норма']",1
"['гейм', 'касса']",0
"['понравиться', 'хотя', 'место', 'нудноватый', 'целое', 'неплохо']",0
['ябсыграть'],0
"['ого', 'новый', 'верминтид']",1
"['новый', 'часть', 'прекрасный']",1
"['новый', 'обортка']",1
"['кастомизация', 'надеяться', 'облик', 'полк', 'поменять']",1
"['присесть', 'дар', 'сланееш']",0
"['чот', 'забыть', 'это', 'легион']",0
"['красиво', 'лоргар', 'гвардия', 'ворона', 'нормально', 'нарисовать']",1
"['русс', 'дальнобойный', 'оружие', 'ходить']",0
"['галя', 'жрааааать']",0
"['египетский', 'чтоль']",1
"['пожиратель', 'мир']",1
"['это', 'тип', 'ангрон', 'наплечник']",1
"['потрясать', 'арт', 'автор', 'нарисовать', 'степень', 'правильный', 'арт', 'весь', 'направление']",1
"['кхарна', 'косплеить', 'ангрон']",0
"['красивый', 'дорн']",0
['красавчик'],0
"['кратос', 'убить', 'ангрон', 'забрать', 'броня']",0
['адекватный'],1
"['раб', 'гладиатор', 'демоничество']",1
"['похоже', 'ангвуна', 'дреды']",1
"['мочь', 'сабля', 'пистоль', 'выдать']",0
"['топор', 'судить', 'ширина', 'вместо', 'щит']",0
"['это', 'командор', 'данте']",0
"['оружие', 'цепной', 'курить', 'автор']",0
"['стоп', 'пилотопор', 'наплечник', 'тот']",0
['ангрон'],0
"['никто', 'написать', 'первый', 'быть', 'это', 'фростморнъ']",0
"['итак', 'враг', 'увидеть', 'культистый', 'нургнуть', 'счетовод', 'гвардеец', 'главарь', 'топить', 'судить', 'череп', 'пояс', 'кхорный', 'зверь', 'нургнуть', 'великий', 'нечистый', 'право', 'право', 'поправить', 'коммент', 'это', 'кто', 'перепутать', 'узнать', 'тёмный', 'божество', 'бгод']",1
"['император', 'сделать', 'правильно']",1
"['посоветовать', 'игра', 'толковый']",0
"['астартёс', 'погонять']",1
"['напоминать', 'врост', 'морн']",0
"['слишком', 'ламповый', 'выйти', 'начинать', 'скорость', 'геймплей', 'заканчивать', 'анимация']",0
"['каллимматорный', 'прицел', 'лазгана', 'это', 'вообще', 'законно']",0
"['символичный', 'мирожор', 'следовать', 'куча', 'дерьмо']",0
"['дитя', 'отец', 'резня']",0
['блятъ'],0
"['пьяный', 'драка', 'закончиться', 'избеение', 'культистовый']",0
"['чело', 'слева', 'задний', 'план', 'голова', 'порядок', 'башка', 'орешек']",1
"['внутри', 'волк', 'жопошникнуть', 'второй', 'жопошникнуть', 'жопошникнуть']",0
"['волк', 'цирк', 'выступать']",1
"['это', 'бравый', 'космарем', 'точно', 'берсехорный', 'который', 'наслать', 'новый', 'вожак']",1
"['рабочий', 'стол', 'такой', 'подобие']",1
"['игра', 'выйти', 'великий', 'вахоеб', 'обосрали', 'молодец', 'товарищ', 'продолжать', 'дух']",1
"['понять', 'ближний', 'бой', 'использовать', 'самый', 'крайний', 'случай', 'постоянный', 'основа', 'кошмар']",0
"['сделать', 'дом', 'стена']",0
"['легион', 'волк']",0
"['волк', 'форма', 'уробороса', 'магнус', 'минутка', 'пара', 'вопрос', 'ты', 'байла', 'коул']",1
"['радовать', 'арт', 'космический', 'волк']",1
"['собакен', 'породистый', 'наверное', 'имперский', 'псарный']",0
"['интригующий', 'соритка']",0
"['обувь', 'потерять', 'крыло', 'случиться']",0
"['такой', 'бледный']",0
"['альфария', 'альфария', 'сто', 'альфарий', 'вокруг']",1
"['альфария', 'переглядываться']",0
"['это', 'оф', 'арт']",0
"['арт', 'тарантино', 'стать', 'фанат']",1
['бред'],1
"['аббадошка', 'малекитка']",0
['корраптиврейн'],0
['аббабаба'],0
['мерзость'],0
"['применить', 'магия', 'малекит', 'ладный', 'слаанеш', 'одобрять']",0
"['шутка', 'крид', 'кадий', 'стоить', 'актуальный']",0
"['альфария', 'альфария', 'оба', 'альфария']",1
"['сестра', 'безмолвие']",1
"['это', 'абадон']",0
"['интересно', 'чемпион', 'нурглита', 'космодесантник', 'предпочтение', 'понимать', 'реген', 'устойчивость', 'бывать', 'чемпион', 'человек', 'чемпион', 'ксенораса', 'обычный', 'человек', 'стать', 'чемпион', 'нургнуть', 'читать', 'один', 'генерал', 'махариус', 'который', 'обратиться', 'сторона', 'хаос']",1
"['ангрон', 'нурглита']",0
"['бордерлэндс', 'похоже']",1
"['уверить', 'это', 'альфария', 'омегон', 'оба', 'истина']",0
"['зак', 'это', 'молодёжь', 'говорить', 'похожий', 'элитный', 'авангард', 'дело', 'дойти', 'авангард', 'старичок', 'возможно', 'молодёжь', 'тактикаловый', 'порубить', 'фарш', 'либо', 'просто', 'ситуация', 'простой']",1
"['хотеться', 'малекиточка']",0
"['полка', 'кончиться']",0
['ухуук'],0
"['один', 'несостык', 'очко', 'скорпион', 'мужик']",0
['ересь'],0
['одежда'],0
['ересь'],0
"['такой', 'удовольствие', 'давить', 'абаддон', 'ессать']",0
"['календарь', 'нравиться']",1
"['брат', 'стигия', 'ксенарит', 'механикус', 'требовать', 'полный', 'знание', 'пикт', 'снимок']",0
"['тапка', 'проебал']",1
"['привыкать', 'весь', 'календарь', 'новый', 'год', 'ксенофильский', 'таутян', 'хруда', 'орк', 'гибридка', 'генокрад', 'секс', 'кукла', 'некронтир', 'короче', 'засылать', 'караул', 'смерть', 'художник', 'весь', 'орден', 'целиком', 'отдельный', 'рота', 'справиться']",1
"['эльдарка', 'это', 'нормально', 'особенно', 'наш', 'время', 'подпись', 'робаут', 'жилиман']",1
"['чисто', 'хорусый', 'лемона', 'раса', 'сцепиться', 'пьянь', 'испортить', 'весь', 'праздник', 'каждый', 'пятница', 'один']",0
"['пробуждение', 'примарха', 'аэлд', 'человечество', 'обретать', 'новый', 'точка', 'соприкосновение', 'культура', 'быт']",1
['неожиданно'],1
"['человеческий', 'полка', 'закончиться', 'послать', 'ксенораса']",0
"['нафаня', 'сундук', 'украсть']",0
"['третий', 'часть', 'наканецт']",1
"['всратый', 'арт', 'обложка', 'женский', 'роман']",1
"['очередной', 'унылый', 'копия', 'толпа', 'одинаковый', 'враг', 'стена']",0
"['весь', 'календарь', 'скинуть']",1
"['брат', 'распечатать']",1
"['похожий', 'лекса', 'лютор']",1
"['широкий', 'волк']",0
"['народ', 'называться', 'книга', 'который', 'леман', 'ткнуть', 'хоруса', 'заточка', 'бок']",0
"['первый', 'арт', 'глаз', 'сразу', 'бросаться', 'отсутствие', 'щит', 'пёс', 'либо', 'перегрузить', 'либо', 'титан', 'сидеть', 'отбить', 'который', 'поверить']",0
"['третий', 'постер', 'прям', 'хотеться', 'назвать', 'лоуренс', 'марсианский', 'одноимённый', 'лоуренс', 'аравийский']",0
"['понять', 'первый', 'арт', 'альфач', 'погрузить', 'дорога', 'ходить']",1
['херня'],0
"['альфария', 'класс', 'гончий', 'война', 'дурно']",0
"['первый', 'арт', 'красивый', 'бредовый', 'жуть']",0
"['первый', 'арт', 'пусть', 'натяжка', 'сказать', 'титанчик', 'набегать', 'вайтрана']",1
"['арквейд', 'ёлочка', 'нарядиться']",1
['няфистон'],0
"['мефистон', 'аниме']",1
['мефистоняша'],0
"['кровь', 'должный', 'стирать']",0
"['мефистон', 'одобрять']",1
"['данте', 'впасть', 'депрессия', 'увидеть']",0
"['пойти', 'такой', 'вакханалия']",0
"['скинуть', 'обычный', 'арт', 'мефистон']",1
"['соска', 'такой', 'маленький', 'должный', 'сверхчеловеческий']",1
"['перебороть', 'чёрный', 'ярость', 'аниметь']",1
"['автор', 'рисунок']",0
['осуждать'],1
"['арквейд', 'мефистон', 'арквейстон']",0
"['мефистон', 'допримаризироваться']",0
"['видеть', 'куча', 'арт', 'мерсадить', 'олитон', 'эуфатия', 'киилера', 'один', 'арт', 'игнаций', 'каркази', 'несправедливость']",0
"['вспомнить', 'самый', 'яркий', 'секс', 'сегодня']",1
"['увидеть', 'достойный', 'фильм']",1
"['рядом', 'валялост', 'круто']",1
"['форма', 'череп', 'нормальный', 'человек']",1
['утащить'],0
"['очень', 'вдохновлять', 'черта', 'герой', 'миф']",0
"['бездушный', 'стилизовать', 'дизайн', 'ваш', 'лунный', 'принцесса', 'абстрактный', 'анимеблондинка', 'герой', 'ммморпг', 'чей', 'дизайн', 'игрок', 'настраивать', 'пытаться']",1
"['стелс', 'задание', 'гидра', 'цепной', 'рука', 'лицо']",0
"['группа', 'красный', 'крыло', 'описать', 'книга', 'содержать', 'лишь', 'один', 'перворождённый', 'карлан', 'капитан', 'арес', 'капитан', 'стать', 'магистр']",0
"['случай', 'кровавый', 'жажда', 'индомитус', 'робаут', 'курс', 'врать', 'мстить', 'сын', 'рный', 'ярость', 'конкретно', 'примариса', 'случиться', 'тьма', 'кровь', 'мефистон', 'утратить', 'контроль', 'ангел', 'рной', 'ярость', 'битва', 'кирисс', 'случай', 'чя', 'скорее', 'стоить', 'сказать', 'массовый', 'внедрение', 'примарис', 'пройти', 'считать', 'месяц', 'стремительный', 'рост', 'число', 'псайкер', 'психический', 'пробуждение', 'отлично', 'книга', 'начинать', 'резонировать', 'друг', 'друг', 'хотя', 'отметить', 'линия', 'примариса', 'офицер', 'служить', 'примарх', 'бросить', 'вызов', 'данте', 'причём', 'никакой', 'драма', 'тьма', 'кровь', 'данте', 'начн', 'свой', 'аналог', 'индомитус', 'именно', 'расширение', 'недовольный', 'заткн', 'довольно', 'быстро', 'неплохой', 'обзор']",1
"['завязка', 'вроде', 'неплохой', 'писать', 'хейль', 'картон']",1
"['некоторый', 'считать', 'данте', 'слишком', 'старый', 'найса', 'пополнение']",0
"['ядриель', 'убивать', 'арес', 'карлан', 'карлан']",0
"['пять', 'добродетель']",1
"['книга', 'кончаться', 'вирусный', 'бомбардировка', 'планета', 'эвакуировать', 'важный', 'человек', 'практически', 'население', 'погибнуть', 'сказать', 'планета', 'реколонизировать', 'угорь', 'вино', 'быть', 'пить', 'дворянин', 'близкий', 'система']",0
"['святой', 'инквизиция', 'уничтожать', 'потенциально', 'заразить', 'варп', 'житель', 'планета', 'поток', 'говно', 'сторона', 'остановить', 'кровавый', 'ангел', 'делать', 'самый', 'поделать', 'таков', 'цена', 'безопасность', 'империум', 'эх', 'трудный', 'неблагодарный', 'путь', 'святой', 'ордос']",0
"['поработитель', 'заполонить', 'планета']",0
"['поработитель', 'экстерминатус', 'спасать', 'вкп', 'писать', 'древний', 'погибнуть', 'именно', 'поработитель', 'ктан']",0
"['пара', 'сцена', 'который', 'космодесантник', 'находить', 'убивать', 'псайкер', 'либо', 'выслеживать', 'улица', 'столица', 'планета', 'либо', 'убивать', 'концентрационный', 'лагер', 'создать', 'местный', 'отделение', 'астр', 'телепатик', 'классика', 'пойти']",1
"['это', 'лютый', 'мискаста', 'главный', 'протагонист', 'должный', 'азраил', 'ребята', 'ка', 'казаться', 'инородный', 'надежда', 'искоренение', 'кровавый', 'жажда', 'мочь', 'оправдать', 'считать', 'чёрный', 'ярость', 'условный', 'сбой', 'физиология', 'невероятно', 'наивно', 'неужели', 'крайний', 'мера', 'либрариум', 'чёрный', 'ярость', 'явить', 'мета', 'физический', 'природа']",1
"['рисунок', 'официальный', 'фанатский', 'автор', 'рисунок']",1
"['придумать', 'это', 'говно']",0
"['какой', 'яйцо', 'создание', 'варпа', 'ублюдок', 'больной']",0
"['паробатитель', 'похожий', 'мобова', 'диабло', 'основное', 'акт', 'встречаться']",1
